Size_MB,Lifetime
441,1297
2352,2
0.0390625,3
441,1
2352,1292
2352,4
0.00390625,2
0.00390625,1
0.00390625,1
2352,1293
0.00390625,1293
0.00390625,1
0.00390625,1
2352,1
0.00390625,1
2352,2
588,1285
2352,2
588,2
0.015625,3
588,4
588,1278
588,4
0.00390625,2
0.00390625,1
0.00390625,1
588,1281
0.00390625,1281
0.00390625,1
0.00390625,1
588,1
0.00390625,1
588,2
0.140625,3
588,3
588,1271
588,4
0.00390625,2
0.00390625,1
0.00390625,1
588,1274
0.00390625,1274
0.00390625,1
0.00390625,1
588,1
0.00390625,1
2352,2
0.0625,3
588,3
2352,1266
2352,4
0.00390625,2
0.00390625,1
0.00390625,1
2352,1267
0.00390625,1267
0.00390625,1
0.00390625,1
2352,1
0.00390625,1
2352,2
2352,2
0.0625,3
588,19
2352,2
2352,4
0.00390625,2
0.00390625,1
0.00390625,1
2352,1258
0.00390625,1258
0.00390625,1
0.00390625,1
2352,1
0.00390625,1
2352,1253
588,2
0.0625,3
2352,9
588,1246
588,4
0.00390625,2
0.00390625,1
0.00390625,1
588,1249
0.00390625,1249
0.00390625,1
0.00390625,1
588,1
0.00390625,1
588,2
0.140625,3
588,3
588,1239
588,4
0.00390625,2
0.00390625,1
0.00390625,1
588,1242
0.00390625,1242
0.00390625,1
0.00390625,1
588,1
0.00390625,1
2352,2
0.0625,3
588,3
2352,1234
2352,4
0.00390625,2
0.00390625,1
0.00390625,1
2352,1235
0.00390625,1235
0.00390625,1
0.00390625,1
2352,1
0.00390625,1
2352,2
2352,1228
588,2
0.0625,3
2352,20
588,1221
588,4
0.00390625,2
0.00390625,1
0.00390625,1
588,1224
0.00390625,1224
0.00390625,1
0.00390625,1
588,1
0.00390625,1
588,2
0.140625,3
588,3
588,1214
588,4
0.00390625,2
0.00390625,1
0.00390625,1
588,1217
0.00390625,1217
0.00390625,1
0.00390625,1
588,1
0.00390625,1
2352,2
0.0625,3
588,3
2352,1209
2352,4
0.00390625,2
0.00390625,1
0.00390625,1
2352,1210
0.00390625,1210
0.00390625,1
0.00390625,1
2352,1
0.00390625,1
2352,2
2352,1203
1176,2
0.125,3
2352,20
1176,1196
1176,4
0.00390625,2
0.00390625,1
0.00390625,1
1176,1199
0.00390625,1199
0.00390625,1
0.00390625,1
1176,1
0.00390625,1
294,2
0.5625,3
1176,3
294,1189
294,4
0.00390625,2
0.00390625,1
0.00390625,1
294,1192
0.00390625,1192
0.00390625,1
0.00390625,1
294,1
0.00390625,1
1176,2
0.25,3
294,3
1176,1184
1176,4
0.00390625,2
0.00390625,1
0.00390625,1
1176,1185
0.00390625,1185
0.00390625,1
0.00390625,1
1176,1
0.00390625,1
1176,2
1176,2
0.5,3
2352,19
1176,2
1176,4
0.00390625,2
0.00390625,1
0.00390625,1
1176,1176
0.00390625,1176
0.00390625,1
0.00390625,1
1176,1
0.00390625,1
1176,1171
294,2
0.25,3
1176,9
294,1164
294,4
0.00390625,2
0.00390625,1
0.00390625,1
294,1167
0.00390625,1167
0.00390625,1
0.00390625,1
294,1
0.00390625,1
294,2
0.5625,3
294,3
294,1157
294,4
0.00390625,2
0.00390625,1
0.00390625,1
294,1160
0.00390625,1160
0.00390625,1
0.00390625,1
294,1
0.00390625,1
1176,2
0.25,3
294,3
1176,1152
1176,4
0.00390625,2
0.00390625,1
0.00390625,1
1176,1153
0.00390625,1153
0.00390625,1
0.00390625,1
1176,1
0.00390625,1
1176,2
1176,1146
294,2
0.25,3
1176,20
294,1139
294,4
0.00390625,2
0.00390625,1
0.00390625,1
294,1142
