Size_MB,Lifetime
147,1297
784,2
0.0390625,3
147,1
784,1292
784,4
0.00390625,2
0.00390625,1
0.00390625,1
784,1293
0.00390625,1293
0.00390625,1
0.00390625,1
784,1
0.00390625,1
784,2
196,1285
784,2
196,2
0.015625,3
196,4
196,1278
196,4
0.00390625,2
0.00390625,1
0.00390625,1
196,1281
0.00390625,1281
0.00390625,1
0.00390625,1
196,1
0.00390625,1
196,2
0.140625,3
196,3
196,1271
196,4
0.00390625,2
0.00390625,1
0.00390625,1
196,1274
0.00390625,1274
0.00390625,1
0.00390625,1
196,1
0.00390625,1
784,2
0.0625,3
196,3
784,1266
784,4
0.00390625,2
0.00390625,1
0.00390625,1
784,1267
0.00390625,1267
0.00390625,1
0.00390625,1
784,1
0.00390625,1
784,2
784,2
0.0625,3
196,19
784,2
784,4
0.00390625,2
0.00390625,1
0.00390625,1
784,1258
0.00390625,1258
0.00390625,1
0.00390625,1
784,1
0.00390625,1
784,1253
196,2
0.0625,3
784,9
196,1246
196,4
0.00390625,2
0.00390625,1
0.00390625,1
196,1249
0.00390625,1249
0.00390625,1
0.00390625,1
196,1
0.00390625,1
196,2
0.140625,3
196,3
196,1239
196,4
0.00390625,2
0.00390625,1
0.00390625,1
196,1242
0.00390625,1242
0.00390625,1
0.00390625,1
196,1
0.00390625,1
784,2
0.0625,3
196,3
784,1234
784,4
0.00390625,2
0.00390625,1
0.00390625,1
784,1235
0.00390625,1235
0.00390625,1
0.00390625,1
784,1
0.00390625,1
784,2
784,1228
196,2
0.0625,3
784,20
196,1221
196,4
0.00390625,2
0.00390625,1
0.00390625,1
196,1224
0.00390625,1224
0.00390625,1
0.00390625,1
196,1
0.00390625,1
196,2
0.140625,3
196,3
196,1214
196,4
0.00390625,2
0.00390625,1
0.00390625,1
196,1217
0.00390625,1217
0.00390625,1
0.00390625,1
196,1
0.00390625,1
784,2
0.0625,3
196,3
784,1209
784,4
0.00390625,2
0.00390625,1
0.00390625,1
784,1210
0.00390625,1210
0.00390625,1
0.00390625,1
784,1
0.00390625,1
784,2
784,1203
392,2
0.125,3
784,20
392,1196
392,4
0.00390625,2
0.00390625,1
0.00390625,1
392,1199
0.00390625,1199
0.00390625,1
0.00390625,1
392,1
0.00390625,1
98,2
0.5625,3
392,3
98,1189
98,4
0.00390625,2
0.00390625,1
0.00390625,1
98,1192
0.00390625,1192
0.00390625,1
0.00390625,1
98,1
0.00390625,1
392,2
0.25,3
98,3
392,1184
392,4
0.00390625,2
0.00390625,1
0.00390625,1
392,1185
0.00390625,1185
0.00390625,1
0.00390625,1
392,1
0.00390625,1
392,2
392,2
0.5,3
784,19
392,2
392,4
0.00390625,2
0.00390625,1
0.00390625,1
392,1176
0.00390625,1176
0.00390625,1
0.00390625,1
392,1
0.00390625,1
392,1171
98,2
0.25,3
392,9
98,1164
98,4
0.00390625,2
0.00390625,1
0.00390625,1
98,1167
0.00390625,1167
0.00390625,1
0.00390625,1
98,1
0.00390625,1
98,2
0.5625,3
98,3
98,1157
98,4
0.00390625,2
0.00390625,1
0.00390625,1
98,1160
0.00390625,1160
0.00390625,1
0.00390625,1
98,1
0.00390625,1
392,2
0.25,3
98,3
392,1152
392,4
