Size_MB,Lifetime
735,1297
3920,2
0.0390625,3
735,1
3920,1292
3920,4
0.00390625,2
0.00390625,1
0.00390625,1
3920,1293
0.00390625,1293
0.00390625,1
0.00390625,1
3920,1
0.00390625,1
3920,2
980,1285
3920,2
980,2
0.015625,3
980,4
980,1278
980,4
0.00390625,2
0.00390625,1
0.00390625,1
980,1281
0.00390625,1281
0.00390625,1
0.00390625,1
980,1
0.00390625,1
980,2
0.140625,3
980,3
980,1271
980,4
0.00390625,2
0.00390625,1
0.00390625,1
980,1274
0.00390625,1274
0.00390625,1
0.00390625,1
980,1
0.00390625,1
3920,2
0.0625,3
980,3
3920,1266
3920,4
0.00390625,2
0.00390625,1
0.00390625,1
3920,1267
0.00390625,1267
0.00390625,1
0.00390625,1
3920,1
0.00390625,1
3920,2
3920,2
0.0625,3
980,19
3920,2
3920,4
0.00390625,2
0.00390625,1
0.00390625,1
3920,1258
0.00390625,1258
0.00390625,1
0.00390625,1
3920,1
0.00390625,1
3920,1253
980,2
0.0625,3
3920,9
980,1246
980,4
0.00390625,2
0.00390625,1
0.00390625,1
980,1249
0.00390625,1249
0.00390625,1
0.00390625,1
980,1
0.00390625,1
980,2
0.140625,3
980,3
980,1239
980,4
0.00390625,2
0.00390625,1
0.00390625,1
980,1242
0.00390625,1242
0.00390625,1
0.00390625,1
980,1
0.00390625,1
3920,2
0.0625,3
980,3
3920,1234
3920,4
0.00390625,2
0.00390625,1
0.00390625,1
3920,1235
0.00390625,1235
0.00390625,1
0.00390625,1
3920,1
0.00390625,1
3920,2
3920,1228
980,2
0.0625,3
3920,20
980,1221
980,4
0.00390625,2
0.00390625,1
0.00390625,1
980,1224
0.00390625,1224
0.00390625,1
0.00390625,1
980,1
0.00390625,1
980,2
0.140625,3
980,3
980,1214
980,4
0.00390625,2
0.00390625,1
0.00390625,1
980,1217
0.00390625,1217
0.00390625,1
0.00390625,1
980,1
0.00390625,1
3920,2
0.0625,3
980,3
3920,1209
3920,4
0.00390625,2
0.00390625,1
0.00390625,1
3920,1210
0.00390625,1210
0.00390625,1
0.00390625,1
3920,1
0.00390625,1
3920,2
3920,1203
1960,2
0.125,3
3920,20
1960,1196
1960,4
0.00390625,2
0.00390625,1
0.00390625,1
1960,1199
0.00390625,1199
0.00390625,1
0.00390625,1
1960,1
0.00390625,1
490,2
0.5625,3
1960,3
490,1189
490,4
0.00390625,2
0.00390625,1
0.00390625,1
490,1192
0.00390625,1192
0.00390625,1
0.00390625,1
490,1
0.00390625,1
1960,2
0.25,3
490,3
1960,1184
1960,4
0.00390625,2
0.00390625,1
0.00390625,1
1960,1185
0.00390625,1185
0.00390625,1
0.00390625,1
1960,1
0.00390625,1
1960,2
1960,2
0.5,3
3920,19
1960,2
1960,4
0.00390625,2
0.00390625,1
0.00390625,1
1960,1176
0.00390625,1176
0.00390625,1
0.00390625,1
1960,1
0.00390625,1
1960,1171
490,2
0.25,3
1960,9
490,1164
490,4
0.00390625,2
0.00390625,1
0.00390625,1
490,1167
0.00390625,1167
0.00390625,1
0.00390625,1
490,1
0.00390625,1
490,2
0.5625,3
490,3
490,1157
490,4
0.00390625,2
0.00390625,1
0.00390625,1
490,1160
0.00390625,1160
0.00390625,1
0.00390625,1
490,1
0.00390625,1
1960,2
0.25,3
490,3
1960,1152
1960,4
0.00390625,2
0.00390625,1
0.00390625,1
1960,1153
0.00390625,1153
0.00390625,1
0.00390625,1
1960,1
0.00390625,1
1960,2
1960,1146
490,2
0.25,3
1960,20
490,1139
490,4
0.00390625,2
0.00390625,1
0.00390625,1
490,1142
0.00390625,1142
0.00390625,1
0.00390625,1
490,1
0.00390625,1
490,2
0.5625,3
490,3
490,1132
490,4
0.00390625,2
0.00390625,1
0.00390625,1
490,1135
0.00390625,1135
0.00390625,1
0.00390625,1
490,1
0.00390625,1
1960,2
0.25,3
490,3
1960,1127
1960,4
0.00390625,2
0.00390625,1
0.00390625,1
1960,1128
0.00390625,1128
0.00390625,1
0.00390625,1
1960,1
0.00390625,1
1960,2
1960,1121
490,2
0.25,3
1960,20
490,1114
490,4
0.00390625,2
0.00390625,1
0.00390625,1
490,1117
0.00390625,1117
0.00390625,1
0.00390625,1
490,1
0.00390625,1
490,2
0.5625,3
490,3
490,1107
490,4
0.00390625,2
0.00390625,1
0.00390625,1
490,1110
0.00390625,1110
0.00390625,1
0.00390625,1
490,1
0.00390625,1
1960,2
0.25,3
490,3
1960,1102
1960,4
0.00390625,2
0.00390625,1
0.00390625,1
1960,1103
0.00390625,1103
0.00390625,1
0.00390625,1
1960,1
0.00390625,1
1960,2
1960,1096
490,2
0.25,3
1960,20
490,1089
490,4
0.00390625,2
0.00390625,1
0.00390625,1
490,1092
0.00390625,1092
0.00390625,1
0.00390625,1
490,1
0.00390625,1
490,2
0.5625,3
490,3
490,1082
490,4
0.00390625,2
0.00390625,1
0.00390625,1
490,1085
0.00390625,1085
0.00390625,1
0.00390625,1
490,1
0.00390625,1
