Size_MB,Lifetime
588,1297
3136,2
0.0390625,3
588,1
3136,1292
3136,4
0.00390625,2
0.00390625,1
0.00390625,1
3136,1293
0.00390625,1293
0.00390625,1
0.00390625,1
3136,1
0.00390625,1
3136,2
784,1285
3136,2
784,2
0.015625,3
784,4
784,1278
784,4
0.00390625,2
0.00390625,1
0.00390625,1
784,1281
0.00390625,1281
0.00390625,1
0.00390625,1
784,1
0.00390625,1
784,2
0.140625,3
784,3
784,1271
784,4
0.00390625,2
0.00390625,1
0.00390625,1
784,1274
0.00390625,1274
0.00390625,1
0.00390625,1
784,1
0.00390625,1
3136,2
0.0625,3
784,3
3136,1266
3136,4
0.00390625,2
0.00390625,1
0.00390625,1
3136,1267
0.00390625,1267
0.00390625,1
0.00390625,1
3136,1
0.00390625,1
3136,2
3136,2
0.0625,3
784,19
3136,2
3136,4
0.00390625,2
0.00390625,1
0.00390625,1
3136,1258
0.00390625,1258
0.00390625,1
0.00390625,1
3136,1
0.00390625,1
3136,1253
784,2
0.0625,3
3136,9
784,1246
784,4
0.00390625,2
0.00390625,1
0.00390625,1
784,1249
0.00390625,1249
0.00390625,1
0.00390625,1
784,1
0.00390625,1
784,2
0.140625,3
784,3
784,1239
784,4
0.00390625,2
0.00390625,1
0.00390625,1
784,1242
0.00390625,1242
0.00390625,1
0.00390625,1
784,1
0.00390625,1
3136,2
0.0625,3
784,3
3136,1234
3136,4
0.00390625,2
0.00390625,1
0.00390625,1
3136,1235
0.00390625,1235
0.00390625,1
0.00390625,1
3136,1
0.00390625,1
3136,2
3136,1228
784,2
0.0625,3
3136,20
784,1221
784,4
0.00390625,2
0.00390625,1
0.00390625,1
784,1224
0.00390625,1224
0.00390625,1
0.00390625,1
784,1
0.00390625,1
784,2
0.140625,3
784,3
784,1214
784,4
0.00390625,2
0.00390625,1
0.00390625,1
784,1217
0.00390625,1217
0.00390625,1
0.00390625,1
784,1
0.00390625,1
3136,2
0.0625,3
784,3
3136,1209
3136,4
0.00390625,2
0.00390625,1
0.00390625,1
3136,1210
0.00390625,1210
0.00390625,1
0.00390625,1
3136,1
0.00390625,1
3136,2
3136,1203
1568,2
0.125,3
3136,20
1568,1196
1568,4
0.00390625,2
0.00390625,1
0.00390625,1
1568,1199
0.00390625,1199
0.00390625,1
0.00390625,1
1568,1
0.00390625,1
392,2
0.5625,3
1568,3
392,1189
392,4
0.00390625,2
0.00390625,1
0.00390625,1
392,1192
0.00390625,1192
0.00390625,1
0.00390625,1
392,1
0.00390625,1
1568,2
0.25,3
392,3
1568,1184
1568,4
0.00390625,2
0.00390625,1
0.00390625,1
1568,1185
0.00390625,1185
0.00390625,1
0.00390625,1
1568,1
0.00390625,1
1568,2
1568,2
0.5,3
3136,19
1568,2
1568,4
0.00390625,2
0.00390625,1
0.00390625,1
1568,1176
0.00390625,1176
0.00390625,1
0.00390625,1
1568,1
0.00390625,1
1568,1171
392,2
0.25,3
1568,9
392,1164
392,4
0.00390625,2
0.00390625,1
0.00390625,1
392,1167
0.00390625,1167
0.00390625,1
